"_time",cacheStatus,cached,"client_id",cp,"http_user_agent","network_type","request_client_IP","server_geo_country",url
"2019-01-03T08:03:00.000+0000",1,true,"jWOQTAWwvlG4DTWD8FoAfw%3d%3d",9999,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",cable,"1.36.67.135","Hong Kong","http://www.cadtutor.net:80/index.html"
"2019-01-03T08:03:00.000+0000",2,true,"JnbiCid6YIl6yP9grSpmEg%3d%3d",9999,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB7.3; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648)",cable,"101.85.161.70",China,"http://23.42.177.170:80/logout/"
"2019-01-03T08:03:00.000+0000",1,true,"PIZIXhOvJ7pcXmWrIlvOPw%3d%3d",9999,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/7.1.2 Safari/537.85.11",reserved,"105.4.187.170","South Africa","http://23.43.66.234:80/logout/"
"2019-01-03T08:03:00.000+0000",3,false,"yXJZruMFxZl4XDo3tOXEFQ%3d%3d",9999,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4",fios,"106.219.158.59",India,"http://172.230.165.139:80/index.html"
"2019-01-03T08:03:00.000+0000",1,true,"2TDjxtDedUuYYbMph63MDA%3d%3d",9999,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.1) Gecko/2008070208 Firefox/3.0.1",fios,"107.220.57.197","United States","http://www.dummycompanytest.com:80/login/"
"2019-01-03T08:03:00.000+0000",1,true,"IkISmVQZunsurrf5lJloPw%3d%3d",9999,"AppleCoreMedia/1.0.0.13T396 (Apple TV; U; CPU OS 9_0 like Mac OS X; en_us)",isdn,"109.128.1.173",Belgium,"http://23.64.226.234:80/logout/"
"2019-01-03T08:03:00.000+0000",2,true,"gea86rDlmayTxV6UCf46tw%3d%3d",9999,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.1) Gecko/2008070208 Firefox/3.0.1",ype,"114.167.251.125",Japan,"http://googleads.g.doubleclick.net:80/logout/"
"2019-01-03T08:03:00.000+0000",2,true,"1FBKT+q+sC%2fyhIpHAL58Dw%3d%3d",9999,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0",mobile,"119.182.24.210",China,"http://23.46.194.234:80/login/"
"2019-01-03T08:03:00.000+0000",2,true,"IKdsK7i8DE0eYYrwHFQDkQ%3d%3d",9999,"POS/1512 CFNetwork/672.1.15 Darwin/14.0.0",reserved,"119.182.24.58",China,"http://2.22.203.35:80/logout/"
"2019-01-03T08:03:00.000+0000",2,true,"wpFWZN8SBOMYlXc6uu9E6g%3d%3d",9999,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:25.0) Gecko/20100101 Firefox/25.0",mobile,"12.29.75.60","United States","http://googleads.g.doubleclick.net:80/test/"
"2019-01-03T08:03:00.000+0000",2,true,"eEgZDa7LZvkrlzIc+KvAxQ%3d%3d",9999,"Mozilla/5.0 (Windows; U; Win98; en-US; rv:0.9.2) Gecko/20010726 Netscape6/6.1",cable,"121.106.115.230",Japan,"http://23.10.23.51:80/login/"
"2019-01-03T08:03:00.000+0000",1,true,"121.131.98.243",9999,"Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35763/35.7598; U; en) Presto/2.8.119 Version/11.10",ype,"121.131.98.243","Republic of Korea","http://tps10231.doubleverify.com:80/css/ol.css"
"2019-01-03T08:03:00.000+0000",1,true,"125.78.161.103",9999,"Rackspace Monitoring/1.1 (https://monitoring.api.rackspacecloud.com)",reserved,"125.78.161.103",China,"http://23.11.130.234:80/index.html"
